id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
12680,Nick,Vannett,PIT,TE,26,3,TE,weighted,1.887984747378456,45,0.3013433160192136,0.4289830995073302,1.44,2.258283850931677,9,44.3,3.7,4.403387544267549
12138,Scott,Simonson,NYG,TE,27,5,TE,weighted,1.5897728531855955,46,0.042480452297267046,0.20647518010647176,1.428,1.6936469999999997,9,48,5.9,4.872920875634494
11647,Logan,Thomas,DET,TE,28,5,TE,weighted,1.583510009532889,47,0.10562247335498243,0.31842866459620317,1.2000000000000002,1.7810638198757764,9,52.4,2.4,3.7640682307327538
12207,Nick,O'Leary,JAC,TE,27,4,TE,weighted,1.5110747922437677,48,0.07051969508574318,1.139856131272715,0.618,2.0845170000000004,9,43.8,6,6.30487946525569
11529,Josh,Hill,NOS,TE,29,6,TE,weighted,1.444700280112045,49,0.02145242501194944,0.3632915939308579,1.171,1.8637064220183488,9,40,2.6,3.904070300558664
11007,Garrett,Celek,SFO,TE,31,7,TE,weighted,1.436409914204004,50,0.0400047664442329,1.1115042756392788,0.077,2.06082125,9,54.5,7.7,6.882375750760613
12211,Jesse,James,DET,TE,25,4,TE,weighted,1.4100857959961868,51,0.040429933269780394,0.6758809203843757,0.745,1.95641125,10,57.5,3.4,4.663132177495618
13880,Dan,Arnold,NOS,TE,24,2,TE,weighted,1.3827244995233559,52,0.08803181105785707,1.0549814377259428,0.184,2.15903375,10,NA,NA,5.916631057719807
8269,Marcedes,Lewis,GBP,TE,35,13,TE,weighted,1.356587225929457,53,0.1594855310142027,0.963628989514459,0.35500000000000004,2.118875,9,51,4.8,5.603836932134731
12585,Daniel,Brown,NYJ,TE,27,4,TE,weighted,1.2327981510015409,54,0.10854643721146129,0.7530634855298491,0,1.345946024464832,10,56.3,7.6,6.310008288267663
13819,Jordan,Thomas,HOU,TE,23,1,TE,weighted,1.1614052388289675,55,0.10211829888616464,0.8136684027167694,0,1.4582085626911314,10,41.3,3.1,4.759746305596784
10940,Derek,Carrier,OAK,TE,29,7,TE,weighted,1.087098188751192,56,0.11615252621544347,0.7402250200075798,0.343,1.68116625,10,52.8,6.2,5.780319969824714
13427,Robert,Tonyan,GBP,TE,25,2,TE,weighted,1.0314756911344138,57,0.12270257387988559,1.080170367565031,0.184,1.9262662499999998,10,66,5.4,5.996860518872964
12208,Jeff,Heuerman,DEN,TE,27,4,TE,weighted,0.910415633937083,58,0.01229647283126778,0.6485412119911298,0.388,1.5160183486238532,10,56.7,6.8,5.862026771771228
12210,Clive,Walford,MIA,TE,28,4,TE,weighted,0.9071306005719735,59,0.02560975213178729,0.7436679164306157,0.45000000000000007,1.6089464285714283,10,63.5,1.5,4.071667586540818
13678,Ian,Thomas,CAR,TE,23,1,TE,weighted,0.889107721639657,60,0.01554111533483793,0.4896388444417626,0.39,1.259845259938838,10,66,3.3,4.348218441193247
14140,Jace,Sternberger,GBP,TE,23,0,TE,weighted,0.8739339752407154,61,0.055541220235948874,0.22627416997969524,0.73,1.0144281345565749,11,55,10.2,6.470466819934402
10398,Lee,Smith,BUF,TE,32,8,TE,weighted,0.8731992373689229,62,0.12031363203050527,0.6732643592049681,0.063,1.30853,11,58.8,7.3,6.081309399723889
12309,MyCole,Pruitt,TEN,TE,27,4,TE,weighted,0.7635862726406102,63,0.03349094375595807,0.415961274171707,0.39,1.1407951863354038,11,65.7,5.6,5.076731360239399
12209,Ben,Koyack,JAC,TE,26,4,TE,weighted,0.7421849380362251,64,0.06774191310778721,0.4744946444976051,0.25,1.0485564220183488,10,40.8,5.4,5.0913167549641205
13246,Mo,Alie-Cox,IND,TE,26,2,TE,weighted,0.7180057197330793,65,0.13073611863266665,0.22719722022916794,0.524,0.9286727828746177,11,58.4,3.6,4.06523431917298
13673,Troy,Fumagalli,DEN,TE,24,1,TE,weighted,0.6308803301237964,66,0.10785642316059185,0.41012193308819755,0.37,0.885525993883792,10,51.4,4.4,4.630435062555689
14231,Trevon,Wesco,NYJ,TE,24,0,TE,weighted,0.5436588720770288,67,0.05993345204642386,0.5444722215136415,0.12000000000000001,0.82002625,11,65.2,6.9,5.742897395929275
11252,Levine,Toilolo,SFO,TE,28,6,TE,weighted,0.5023889418493804,68,0.06393997558426645,0.493365008019225,0.07800000000000001,0.9593256880733945,11,59.4,10.4,6.942721098706454
13994,Pharaoh,Brown,CLE,TE,25,2,TE,weighted,0.4650618982118294,69,0.0775306298970061,0.21213203435596428,0.30000000000000004,0.5727375000000001,11,62,3.5,4.0062465832435965
13676,Durham,Smythe,MIA,TE,24,1,TE,weighted,0.41183603431839855,70,0.07215700623236454,0.09350091706645976,0.30000000000000004,0.4734391304347826,11,66,7.5,5.287434654088328
13195,Jordan,Leggett,TBB,TE,24,2,TE,weighted,0.3632265023112481,71,0.0578947577926589,0.3533289946347908,0,0.5572902140672782,12,70,6,5.128945352987724
13772,Dalton,Schultz,DAL,TE,23,1,TE,weighted,0.31613155386081987,72,0.07083257389299827,0.19788025139720486,0.07600000000000001,0.44198012232415906,12,74,2.2,3.5109090451078506
13940,Johnny,Mundt,LAR,TE,25,2,TE,weighted,0.2945319351763585,73,0.09949892279671615,0.29630175090039823,0.07200000000000001,0.5396825000000001,12,67,2.9,3.913305488069241
14319,Andrew,Beck,DEN,TE,23,0,TE,weighted,0.1960660247592847,74,0.026679275914908734,0.22627416997969516,0.02,0.31092,12,74.5,1.5,3.298113912949204
13189,Evan,Engram,NYG,TE,25,2,TE,weighted,0.194,75,0.056613251155624045,0.13717871555019023,0,0.1722503105590062,12,NA,NA,3.17222344846091
12955,Chris,Manhertz,CAR,TE,27,3,TE,weighted,0.14477349768875192,76,0.05508705701078581,0.09290450007665858,0,0.16861177370030578,12,68.3,4.5,4.192628157513667
14240,Zach,Gentry,PIT,TE,23,0,TE,weighted,0.13,77,0.1053135593220339,0.09192388155425117,0,0.11554892966360855,11,NA,NA,3.036902744159904
13369,Cethan,Carter,CIN,TE,26,2,TE,weighted,0.049372881355932194,78,0.049372881355932194,0.033482705358084855,0,0.060624689440993786,12,NA,NA,2.862152326917095
8247,Vernon,Davis,WAS,TE,35,13,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
8416,Delanie,Walker,TEN,TE,35,13,TE,weighted,0,79,NA,NaN,0,0,12,37,21.2,17.524339388570965
9912,Ed,Dickson,SEA,TE,32,9,TE,weighted,0,79,NA,NaN,0,0,12,NA,NA,NaN
10838,Rhett,Ellison,NYG,TE,31,7,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
11248,Jordan,Reed,WAS,TE,29,6,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
11381,Luke,Willson,SEA,TE,29,6,TE,weighted,0,79,0,NaN,0,0,12,43,1,2.79295347567418
11705,Trey,Burton,CHI,TE,28,5,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
12330,James,O'Shaughnessy,JAC,TE,27,4,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
12378,Geoff,Swaim,JAC,TE,26,4,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
12677,Austin,Hooper,ATL,TE,25,3,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
12792,Seth,DeValve,JAC,TE,26,3,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13190,Jake,Butt,DEN,TE,24,2,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13254,Adam,Shaheen,CHI,TE,25,2,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13411,Tyrone,Swoopes,SEA,TE,25,2,TE,weighted,0,79,0,NaN,0,0,12,54.5,5.5,6.074697862210592
13445,Antony,Auclair,TBB,TE,26,2,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13546,Garrett,Griffin,NOS,TE,25,3,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13549,Jason,Vander Laan,FA,TE,27,2,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13679,Chris,Herndon,NYJ,TE,23,1,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13728,Billy,Brown,IND,TE,26,2,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13763,Will,Dissly,SEA,TE,23,1,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
13890,Jason,Croom,BUF,TE,25,2,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
14144,Isaac,Nauta,FA,TE,22,0,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
14146,Drew,Sample,CIN,TE,23,0,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
14195,Kahale,Warring,HOU,TE,22,0,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
14209,Josh,Oliver,JAC,TE,22,0,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
14294,Tommy,Sweeney,BUF,TE,24,0,TE,weighted,0,79,0,NaN,0,0,12,67.3,8.1,7.970816841098298
14501,Austin,Fort,DEN,TE,24,0,TE,weighted,0,79,0,NaN,0,0,12,NA,NA,NaN
12652,Michael,Thomas,NOS,WR,26,3,WR,weighted,19.881461884341082,1,2.7188491406625594,2.8875954812820126,17.34,22.943647493403695,1,1.1,0.3,3.105403642834799
10271,Julio,Jones,ATL,WR,30,8,WR,weighted,17.223024269123076,2,0.339212950825587,2.8871664072488974,14.280000000000001,20.303484960422164,1,1.9,0.3,3.105403642834799
11232,DeAndre,Hopkins,HOU,WR,27,6,WR,weighted,17.102201218233965,3,1.0033883808569222,1.9476114782515008,14.98,19.11018469656992,2,3.2,0.4,3.142189388684468
11671,Mike,Evans,TBB,WR,26,5,WR,weighted,16.665421418361017,4,1.1874663489880106,2.0556410034451256,14.862,18.77265963060686,2,3.9,0.2,3.0686178969851308
13163,Chris,Godwin,TBB,WR,23,2,WR,weighted,15.532204256393069,5,0.3369605705530798,1.9080600891667427,13.616,17.49511345646438,2,5.3,0.5,3.178975134534136
11675,Davante,Adams,GBP,WR,27,5,WR,weighted,15.423705882352943,6,0.8120926332769294,3.588676688205678,10.05,18.255586807387864,2,7,1.6,3.583618338880491
