Player,NFL Team,Position,Cost,Team
Derek Carr ,Oak ,QB ,$1.00,Runningbackhanders
Marlon Mack ,Ind ,RB ,$5.00,My Cousin Kurt
Alex Smith ,Was ,QB ,$1.00,En-Saquonpedia Brown
Josh Doctson ,Was ,WR ,$1.00,Straight-Up G
Duke Johnson Jr. ,Cle ,RB ,$3.00,My Friend Broos
Latavius Murray ,NO ,RB ,$2.00,En-Saquonpedia Brown
Kenny Golladay ,Det ,WR ,$1.00,JuJu Smith-Schlusta
Jameis Winston ,TB ,QB ,$1.00,JasonKelceStringBand
Tyrell Williams ,Oak ,WR ,$1.00,LeJizz LeRoux
Tyler Lockett ,Sea ,WR ,$6.00,3 Edelman in a loaf
Devontae Booker ,Den ,RB ,$1.00,A Team Has No Name
DeVante Parker ,Mia ,WR ,$1.00,My Cousin Kurt
James White ,NE ,RB ,$1.00,En-Saquonpedia Brown
Kenny Stills ,Mia ,WR ,$1.00,Straight-Up G
Peyton Barber ,TB ,RB ,$1.00,My Friend Broos
Javorius Allen ,NO ,RB ,$1.00,Lane Johnson's Juice
Chris Godwin ,TB ,WR ,$1.00,JasonKelceStringBand
Giovani Bernard ,Cin ,RB ,$1.00,LeJizz LeRoux
DeSean Jackson ,Phi ,WR ,$1.00,A Team Has No Name
Tennessee ,Ten ,DEF ,$1.00,My Cousin Kurt
Adrian Peterson ,Was ,RB ,$1.00,En-Saquonpedia Brown
Martavis Bryant ,Oak ,WR ,$1.00,Straight-Up G
Denver ,Den ,DEF ,$1.00,My Friend Broos
C.J. Anderson ,Det ,RB ,$1.00,Lane Johnson's Juice
Cameron Brate ,TB ,TE ,$1.00,JasonKelceStringBand
Keelan Cole ,Jax ,WR ,$1.00,LeJizz LeRoux
Dan Bailey ,Min ,K ,$5.00,My Cousin Kurt
Jordan Wilkins ,Ind ,RB ,$1.00,En-Saquonpedia Brown
Chris Boswell ,Pit ,K ,$1.00,Straight-Up G
Robbie Gould ,SF ,K ,$1.00,My Friend Broos
Randall Cobb ,Dal ,WR ,$2.00,My Friend Broos
Theo Riddick ,Det ,RB ,$1.00,JasonKelceStringBand
Spencer Ware ,Ind ,RB ,$1.00,LeJizz LeRoux
Jonathan Williams ,Ind ,RB ,$1.00,En-Saquonpedia Brown
D.J. Moore ,Car ,WR ,$1.00,Lane Johnson's Juice
Mike Williams ,LAC ,WR ,$1.00,En-Saquonpedia Brown
Geronimo Allison ,GB ,WR ,$1.00,Lane Johnson's Juice
